word,count
新聞,144
雲林,36
重大,48
傷病者,24
就醫,56
發放,52
免費,119
口罩,4850
活動,205
延長,32
至日,24
看板,128
批踢踢實業坊,650
批,161
踢踢,161
〔,16
記者,48
詹士弘,12
／,40
報導,36
〕,16
雲林縣,28
政府,988
日起,36
進行,12
為期,12
週,16
「,153
傷病,24
無,47
免,12
煩惱,21
」,145
短短,12
天,89
吸引,15
請領,12
人數,29
高達,12
人,1297
販售,75
實名制,232
於,20
月,131
日,116
上路,40
民眾,156
憑,20
健保,44
看,958
板,577
關於,161
我們,339
聯絡,161
資訊,237
返回,161
作者,161
標題新聞,12
時間,346
健保卡,44
至,51
特約,40
藥局,281
購買,277
偏鄉,4
地區,8
為,427
免民眾,4
新制,8
過度,8
期,4
仍,21
買不到,507
縣長,8
張麗善,4
決定,31
將,24
符合,39
資格,4
而,79
上班時間,4
可至,4
近,8
衛生所,8
索取,46
衛生局,8
表示,119
近日,4
信箱,7
及,35
粉絲,8
專業,32
持續,16
接獲,4
反映,8
需求,108
所以,306
凡,4
領有,8
證明,57
欲,4
病患,12
及其,4
陪同,4
者,28
或是,72
目前,105
體溫,4
超過,61
度,17
的,8392
每人,80
提供,84
片,268
衛生局長,4
曾春美,4
有,2636
許多,12
保有,7
戴,847
保庇,4
心理,12
希望,49
大家,418
能,359
發起,8
禮讓,4
運動,20
不要,626
搶購,85
或,174
囤積,72
健康,107
不,1464
需,60
一律,24
呼籲,12
把,158
讓給,20
需要,546
優先購買,4
※,456
發信站,167
來自,156
臺灣,171
文章,141
網址,158
推,6263
這種,222
本來,168
就,2259
該,65
從,125
醫院,162
發了,4
→,10074
讓,212
一堆,474
可能,193
感染,48
肺炎,76
到處,32
找,149
傳染給,4
別人,90
根本,231
有病,20
推樓,41
說,914
道理,16
這樣,306
多,745
嗎,1274
推修蛋,4
幾勒,4
彰化,16
版,116
推推,681
樓,68
情報,274
六,40
捐血,244
送,212
台,193
中,91
新光,48
三越,48
日期,42
：,201
年月日,12
（,264
）,225
地點,19
臺中市,12
捐血車,12
惠來,12
路,48
市政,12
北七,16
路口,12
後方,12
惠安,12
停車場,12
內,82
追夢,4
標題,182
主辦單位,4
福安,4
同濟,4
會,877
贈品,71
贈,8
份片,8
歡迎,12
定期,11
維持,12
血液,8
庫存量,16
平衡,8
